2018	65600	368500
2020	27000	439000
2018	40000	445000
2015	57000	400000
2018	47685	374900
2021	25000	459000
2019	45000	450000
2014	57000	415000
2018	110000	375000
2017	96000	425000
2021	20000	469000
2017	126000	382900
2016	48000	384000
2021	6500	515000
2014	136000	322000
2012	228000	272500
2015	103647	297000
2017	102000	389000
2021	450	448500
2020	1500	499000
2019	18000	505000
2016	56000	409750
2014	158000	318000
2016	90000	445000
2013	130000	240000
2013	107500	362500
2013	72665	385000
2021	1140	505000
2017	64000	424000
2012	215000	296000
2015	114500	355000
2021	3500	497000
2017	109000	405000
2017	49000	475000
2012	190000	319000
2020	23500	459000
2021	20000	482500
2021	0	500000
2021	9000	462000
2021	22000	515000
2020	8300	480000
2020	20106	550000
2021	13000	479750
2021	4000	485000
2014	35000	371500
2018	68200	455000
2018	63000	450000
2020	44500	435000
2017	96000	425000
2021	20000	469000
2017	126000	382900
2016	48000	384000
2021	6500	515000
2014	136000	322000
2012	228000	272500
2015	103647	297000
2017	102000	389000
2021	450	448500
2020	1500	499000
2019	18000	505000
2016	56000	409750
2014	158000	318000
2016	90000	445000
2013	130000	240000
2013	107500	362500
2013	72665	385000
2021	1140	505000
2017	64000	424000
2012	215000	296000
2015	114500	355000
2021	3500	497000
2017	109000	405000
2017	49000	475000
2012	190000	319000
2020	23500	459000
2021	20000	482500
2021	0	500000
2021	9000	462000
2021	22000	515000
2020	8300	480000
2020	20106	550000
2021	13000	479750
2021	4000	485000
2014	35000	371500
2018	68200	455000
2018	63000	450000
2020	44500	435000
2014	230000	270000
2014	94000	350000
2016	88000	388500
2017	136000	415000
2018	36500	442000
2013	214000	315000
2017	190000	300000
2014	135000	284500
2018	114000	390000
2021	5950	465000
2013	156000	312000
2015	202000	298000
2012	222000	251500
2013	108769	350000
2014	133000	355000
2021	14200	425000
2018	84000	346250
2017	111000	385000
2014	212000	249900
2020	25500	450000
2016	94500	317000
2021	600	485000
2014	14443	409000
2017	62000	425000
2013	90000	367000
2017	65000	385000
2016	78000	390000
2017	151341	395000
2013	137000	330000
2021	8000	495000
2012	66500	235000
2016	102000	383000
2014	80000	290000
2021	1120	496000
2021	5100	475000
2017	112500	393999
2013	138000	332500
2019	32000	440000
2021	7000	449000
2018	64500	430000
2017	68700	398000
2021	950	515000
2021	3900	469000
2019	31700	387500
2013	108000	325000
2020	8500	400000
2018	32000	425000
2013	132900	335000
2021	4500	455000
2021	26000	448000
2013	171000	310000
2017	101000	430000
2015	86500	377500
2015	94000	360000
2016	57000	425000
2015	76000	345000
2012	144976	339000
2017	101000	428000
2017	70000	349999
2017	86000	409000
2013	87600	355000
2016	48500	365000
2012	176000	268750
2018	67000	345000
2015	133000	335000
2021	5500	509000
2020	3000	475000
2012	155000	318000
2021	2600	450000
2014	160000	285000
2020	16000	475000
2017	63500	433500
2020	24900	530000
2021	10700	485000
2017	88000	410000
2013	119000	339000
2020	18000	470000
2016	130000	378500
2021	8000	455000
2020	11000	438000
2019	9000	490000
2016	171000	335000
2019	43000	503000
2014	88000	342900
2020	20000	446000
2019	36000	443000
2013	77648	305000
2017	85000	400000
2019	55000	435000
2014	186000	352000
2018	29183	435000
2017	69000	369900
2015	27000	365000
2021	13000	412000
2021	9000	497500
2014	125000	325750
2018	63000	345000
2016	92000	405000
2017	117000	365000
2020	23000	465000
2013	160000	315900
2021	2000	487000
